Year,Month,Day,Maximum temperature (Degree C),date
2013,1,1,28.9,2013-1-1
2013,1,2,22.2,2013-1-2
2013,1,3,38,2013-1-3
2013,1,4,41.5,2013-1-4
2013,1,5,27.5,2013-1-5
2013,1,6,26.5,2013-1-6
2013,1,7,34.3,2013-1-7
2013,1,8,33.9,2013-1-8
2013,1,9,21.5,2013-1-9
2013,1,10,27.8,2013-1-10
2013,1,11,40.9,2013-1-11
2013,1,12,25,2013-1-12
2013,1,13,19.8,2013-1-13
2013,1,14,21.5,2013-1-14
2013,1,15,30.1,2013-1-15
2013,1,16,26.5,2013-1-16
2013,1,17,41.3,2013-1-17
2013,1,18,28.6,2013-1-18
2013,1,19,22.3,2013-1-19
2013,1,20,26.6,2013-1-20
2013,1,21,27.8,2013-1-21
2013,1,22,24.8,2013-1-22
2013,1,23,23.3,2013-1-23
2013,1,24,36,2013-1-24
2013,1,25,27.3,2013-1-25
2013,1,26,21.5,2013-1-26
2013,1,27,23.8,2013-1-27
2013,1,28,24.5,2013-1-28
2013,1,29,20.3,2013-1-29
2013,1,30,28.7,2013-1-30
2013,1,31,25.6,2013-1-31
2013,2,1,18.9,2013-2-1
2013,2,2,21.3,2013-2-2
2013,2,3,25,2013-2-3
2013,2,4,22.6,2013-2-4
2013,2,5,29.9,2013-2-5
2013,2,6,37.2,2013-2-6
2013,2,7,32.6,2013-2-7
2013,2,8,30.1,2013-2-8
2013,2,9,32.5,2013-2-9
2013,2,10,22.7,2013-2-10
2013,2,11,25.5,2013-2-11
2013,2,12,25.9,2013-2-12
2013,2,13,32.7,2013-2-13
2013,2,14,32.7,2013-2-14
2013,2,15,31.4,2013-2-15
2013,2,16,34.8,2013-2-16
2013,2,17,35.3,2013-2-17
2013,2,18,36.5,2013-2-18
2013,2,19,19.1,2013-2-19
2013,2,20,27.4,2013-2-20
2013,2,21,31.1,2013-2-21
2013,2,22,31.8,2013-2-22
2013,2,23,31.8,2013-2-23
2013,2,24,34.5,2013-2-24
2013,2,25,33.6,2013-2-25
2013,2,26,28.5,2013-2-26
2013,2,27,29.1,2013-2-27
2013,2,28,18.3,2013-2-28
2013,3,1,23.8,2013-3-1
2013,3,2,26.3,2013-3-2
2013,3,3,28.8,2013-3-3
2013,3,4,31.5,2013-3-4
2013,3,5,32.7,2013-3-5
2013,3,6,33.6,2013-3-6
2013,3,7,35.2,2013-3-7
2013,3,8,34.6,2013-3-8
2013,3,9,35.9,2013-3-9
2013,3,10,36.3,2013-3-10
2013,3,11,36.9,2013-3-11
2013,3,12,36.2,2013-3-12
2013,3,13,26.5,2013-3-13
2013,3,14,22.2,2013-3-14
2013,3,15,23.2,2013-3-15
2013,3,16,24,2013-3-16
2013,3,17,17.1,2013-3-17
