Year,Month,Day,Maximum temperature (Degree C),
2014,1,1,25.1,2014-1-1
2014,1,2,23.6,2014-1-2
2014,1,3,23.6,2014-1-3
2014,1,4,21.1,2014-1-4
2014,1,5,27.2,2014-1-5
2014,1,6,19.9,2014-1-6
2014,1,7,19.1,2014-1-7
2014,1,8,27.3,2014-1-8
2014,1,9,32.4,2014-1-9
2014,1,10,34.9,2014-1-10
2014,1,11,23.1,2014-1-11
2014,1,12,24.6,2014-1-12
2014,1,13,34.6,2014-1-13
2014,1,14,43.5,2014-1-14
2014,1,15,42.9,2014-1-15
2014,1,16,43.1,2014-1-16
2014,1,17,43.9,2014-1-17
2014,1,18,25.7,2014-1-18
2014,1,19,23.1,2014-1-19
2014,1,20,24.7,2014-1-20
2014,1,21,22.6,2014-1-21
2014,1,22,23.4,2014-1-22
2014,1,23,33.7,2014-1-23
2014,1,24,22.8,2014-1-24
2014,1,25,20.3,2014-1-25
2014,1,26,28.2,2014-1-26
2014,1,27,35.5,2014-1-27
2014,1,28,42.1,2014-1-28
2014,1,29,23.7,2014-1-29
2014,1,30,31.1,2014-1-30
2014,1,31,28.1,2014-1-31
2014,2,1,33.7,2014-2-1
2014,2,2,40.5,2014-2-2
2014,2,3,37.5,2014-2-3
2014,2,4,25,2014-2-4
2014,2,5,30.9,2014-2-5
2014,2,6,35.3,2014-2-6
2014,2,7,37.9,2014-2-7
2014,2,8,42.2,2014-2-8
2014,2,9,41.2,2014-2-9
2014,2,10,23.7,2014-2-10
2014,2,11,27.3,2014-2-11
2014,2,12,28.1,2014-2-12
2014,2,13,26.4,2014-2-13
2014,2,14,27,2014-2-14
2014,2,15,28.2,2014-2-15
2014,2,16,22.9,2014-2-16
2014,2,17,25.7,2014-2-17
2014,2,18,31.9,2014-2-18
2014,2,19,25.7,2014-2-19
2014,2,20,20.2,2014-2-20
2014,2,21,20.6,2014-2-21
2014,2,22,19.7,2014-2-22
2014,2,23,24.6,2014-2-23
2014,2,24,27.3,2014-2-24
2014,2,25,36.4,2014-2-25
2014,2,26,21.5,2014-2-26
2014,2,27,21.3,2014-2-27
2014,2,28,23.2,2014-2-28
2014,3,1,23.2,2014-3-1
2014,3,2,22.6,2014-3-2
2014,3,3,26.7,2014-3-3
2014,3,4,34.1,2014-3-4
2014,3,5,22.9,2014-3-5
2014,3,6,21,2014-3-6
2014,3,7,22.7,2014-3-7
2014,3,8,27.9,2014-3-8
2014,3,9,33.4,2014-3-9
2014,3,10,35.2,2014-3-10
2014,3,11,32.1,2014-3-11
2014,3,12,21.3,2014-3-12
2014,3,13,23.7,2014-3-13
2014,3,14,28.6,2014-3-14
2014,3,15,30.2,2014-3-15
2014,3,16,20,2014-3-16
2014,3,17,25.3,2014-3-17
2014,3,18,25.1,2014-3-18
2014,3,19,22.1,2014-3-19
2014,3,20,31.1,2014-3-20
2014,3,21,25.7,2014-3-21
2014,3,22,18.4,2014-3-22
2014,3,23,16.8,2014-3-23
2014,3,24,18.3,2014-3-24
2014,3,25,24.3,2014-3-25
2014,3,26,27.3,2014-3-26
2014,3,27,25.9,2014-3-27
2014,3,28,22,2014-3-28
2014,3,29,24.4,2014-3-29
2014,3,30,26.6,2014-3-30
2014,3,31,32,2014-3-31
2014,4,1,33.7,2014-4-1
2014,4,2,23.6,2014-4-2
2014,4,3,17.3,2014-4-3
2014,4,4,18.6,2014-4-4
2014,4,5,24.3,2014-4-5
2014,4,6,23.2,2014-4-6
2014,4,7,25.2,2014-4-7
2014,4,8,20.9,2014-4-8
2014,4,9,17.5,2014-4-9
2014,4,10,18.2,2014-4-10
2014,4,11,17,2014-4-11
2014,4,12,20.7,2014-4-12
2014,4,13,20.4,2014-4-13
2014,4,14,20.3,2014-4-14
2014,4,15,19.5,2014-4-15
2014,4,16,22.6,2014-4-16
2014,4,17,24.4,2014-4-17
2014,4,18,18.9,2014-4-18
2014,4,19,16.2,2014-4-19
2014,4,20,18.6,2014-4-20
2014,4,21,19,2014-4-21
2014,4,22,17.3,2014-4-22
2014,4,23,18.8,2014-4-23
2014,4,24,17,2014-4-24
2014,4,25,20.1,2014-4-25
2014,4,26,19,2014-4-26
2014,4,27,16.1,2014-4-27
2014,4,28,21,2014-4-28
2014,4,29,18,2014-4-29
2014,4,30,15.9,2014-4-30
2014,5,1,15.6,2014-5-1
2014,5,2,13.6,2014-5-2
2014,5,3,15.5,2014-5-3
2014,5,4,12.7,2014-5-4
2014,5,5,16.3,2014-5-5
2014,5,6,14.4,2014-5-6
2014,5,7,14.5,2014-5-7
2014,5,8,17.5,2014-5-8
2014,5,9,16.8,2014-5-9
2014,5,10,16.9,2014-5-10
2014,5,11,18.9,2014-5-11
2014,5,12,18.5,2014-5-12
2014,5,13,20.4,2014-5-13
2014,5,14,20.7,2014-5-14
2014,5,15,21.6,2014-5-15
