Year,Month,Day,date,Total daily global solar exposure in MJ.m-2
2013,1,2,2013-1-2,29.419004
2013,1,3,2013-1-3,32.251742
2013,1,4,2013-1-4,
2013,1,5,2013-1-5,30.240986
2013,1,6,2013-1-6,31.068318
2013,1,7,2013-1-7,31.993328
2013,1,8,2013-1-8,23.801932
2013,1,9,2013-1-9,24.783051
2013,1,10,2013-1-10,32.002824
2013,1,11,2013-1-11,29.021955
2013,1,12,2013-1-12,18.399885
2013,1,13,2013-1-13,8.479194
2013,1,14,2013-1-14,28.383457
2013,1,15,2013-1-15,32.372537
2013,1,16,2013-1-16,31.648752
2013,1,17,2013-1-17,26.14735
2013,1,18,2013-1-18,18.003619
2013,1,19,2013-1-19,28.271742
2013,1,20,2013-1-20,32.084242
2013,1,21,2013-1-21,28.6014
2013,1,22,2013-1-22,27.856779
2013,1,23,2013-1-23,31.578586
2013,1,24,2013-1-24,31.608832
2013,1,25,2013-1-25,13.64359
2013,1,26,2013-1-26,16.486785
2013,1,27,2013-1-27,25.267678
2013,1,28,2013-1-28,27.809287
2013,1,29,2013-1-29,20.144063
2013,1,30,2013-1-30,31.20567
2013,1,31,2013-1-31,16.849916
2013,2,1,2013-2-1,22.910477
2013,2,2,2013-2-2,26.890652
2013,2,3,2013-2-3,18.931406
2013,2,4,2013-2-4,26.689639
2013,2,5,2013-2-5,29.13618
2013,2,6,2013-2-6,28.706059
2013,2,7,2013-2-7,24.942248
2013,2,8,2013-2-8,29.50185
2013,2,9,2013-2-9,25.402482
2013,2,10,2013-2-10,23.492908
2013,2,11,2013-2-11,27.865318
2013,2,12,2013-2-12,24.550893
2013,2,13,2013-2-13,27.403897
2013,2,14,2013-2-14,19.536842
2013,2,15,2013-2-15,27.586965
2013,2,16,2013-2-16,24.875275
2013,2,17,2013-2-17,26.56985
2013,2,18,2013-2-18,27.370207
2013,2,19,2013-2-19,5.107358
2013,2,20,2013-2-20,27.198611
2013,2,21,2013-2-21,18.590156
2013,2,22,2013-2-22,23.961201
2013,2,23,2013-2-23,26.204699
2013,2,24,2013-2-24,23.255602
2013,2,25,2013-2-25,21.705147
2013,2,26,2013-2-26,12.419199
2013,2,27,2013-2-27,         
2013,2,28,2013-2-28,11.372738
2013,3,1,2013-3-1,26.356359
2013,3,2,2013-3-2,26.324762
2013,3,3,2013-3-3,26.159902
2013,3,4,2013-3-4,25.656873
2013,3,5,2013-3-5,25.53965
2013,3,6,2013-3-6,24.057746
2013,3,7,2013-3-7,16.826936
2013,3,8,2013-3-8,18.433008
2013,3,9,2013-3-9,19.52769
2013,3,10,2013-3-10,13.979538
2013,3,11,2013-3-11,20.63009
2013,3,12,2013-3-12,23.05057
2013,3,13,2013-3-13,18.395557
2013,3,14,2013-3-14,17.067717
2013,3,15,2013-3-15,18.708354
2013,3,16,2013-3-16,9.311678
2013,3,17,2013-3-17,9.076659
2013,3,18,2013-3-18,11.362205
2013,3,19,2013-3-19,22.195772
2013,3,20,2013-3-20,19.833121
2013,3,21,2013-3-21,9.881201
2013,3,22,2013-3-22,9.693569
2013,3,23,2013-3-23,18.767889
2013,3,24,2013-3-24,15.842935
2013,3,25,2013-3-25,19.042432
2013,3,26,2013-3-26,20.487551
2013,3,27,2013-3-27,16.553922
2013,3,28,2013-3-28,11.366394
2013,3,29,2013-3-29,10.148471
2013,3,30,2013-3-30,10.675853
2013,3,31,2013-3-31,10.141277
2013,4,1,2013-4-1,10.129882
2013,4,2,2013-4-2,6.654138
2013,4,3,2013-4-3,8.69318
2013,4,4,2013-4-4,18.543779
2013,4,5,2013-4-5,14.887292
2013,4,6,2013-4-6,17.135404
2013,4,7,2013-4-7,11.370937
2013,4,8,2013-4-8,12.9058
2013,4,9,2013-4-9,15.413526
2013,4,10,2013-4-10,16.674879
2013,4,11,2013-4-11,3.363738
2013,4,12,2013-4-12,15.107599
2013,4,13,2013-4-13,3.144326
2013,4,14,2013-4-14,9.291564
2013,4,15,2013-4-15,5.051022
2013,4,16,2013-4-16,         
2013,4,17,2013-4-17,9.069326
2013,4,18,2013-4-18,6.142844
2013,4,19,2013-4-19,13.670658
2013,4,20,2013-4-20,12.578641
2013,4,21,2013-4-21,14.230481
2013,4,22,2013-4-22,6.592835
2013,4,23,2013-4-23,12.02728
2013,4,24,2013-4-24,9.817721
2013,4,25,2013-4-25,13.053254
2013,4,26,2013-4-26,9.175543
2013,4,27,2013-4-27,13.005844
2013,4,28,2013-4-28,6.557012
2013,4,29,2013-4-29,11.207144
2013,4,30,2013-4-30,9.945406
2013,5,1,2013-5-1,6.796987
2013,5,2,2013-5-2,13.839869
2013,5,3,2013-5-3,10.279681
2013,5,4,2013-5-4,8.845852
2013,5,5,2013-5-5,5.887241
2013,5,6,2013-5-6,13.040578
2013,5,7,2013-5-7,9.476013
2013,5,8,2013-5-8,12.871145
2013,5,9,2013-5-9,12.359242
2013,5,10,2013-5-10,11.95461
2013,5,11,2013-5-11,11.551085
2013,5,12,2013-5-12,8.01765
2013,5,13,2013-5-13,9.061151
2013,5,14,2013-5-14,8.567596
2013,5,15,2013-5-15,7.225455
2013,5,16,2013-5-16,4.697178
2013,5,17,2013-5-17,6.781824
2013,5,18,2013-5-18,4.996835
2013,5,19,2013-5-19,10.419577
2013,5,20,2013-5-20,3.806052
2013,5,21,2013-5-21,10.196171
2013,5,22,2013-5-22,6.564906
2013,5,23,2013-5-23,9.992624
2013,5,24,2013-5-24,9.983087
2013,5,25,2013-5-25,8.71904
2013,5,26,2013-5-26,3.071279
2013,5,27,2013-5-27,5.682126
2013,5,28,2013-5-28,9.986204
2013,5,29,2013-5-29,5.710187
2013,5,30,2013-5-30,1.407431
2013,5,31,2013-5-31,6.928754
2013,6,1,2013-6-1,2.317027
2013,6,2,2013-6-2,6.292694
2013,6,3,2013-6-3,4.390494
2013,6,4,2013-6-4,3.860662
2013,6,5,2013-6-5,4.515559
2013,6,6,2013-6-6,6.833339
2013,6,7,2013-6-7,6.435353
2013,6,8,2013-6-8,9.322832
2013,6,9,2013-6-9,8.181602
2013,6,10,2013-6-10,7.941408
2013,6,11,2013-6-11,2.456414
2013,6,12,2013-6-12,1.896926
2013,6,13,2013-6-13,1.881758
2013,6,14,2013-6-14,3.837876
2013,6,15,2013-6-15,5.070774
2013,6,16,2013-6-16,7.840631
2013,6,17,2013-6-17,3.313779
2013,6,18,2013-6-18,6.800624
2013,6,19,2013-6-19,9.628826
2013,6,20,2013-6-20,9.515204
2013,6,21,2013-6-21,9.800528
2013,6,22,2013-6-22,9.52384
2013,6,23,2013-6-23,9.612703
2013,6,24,2013-6-24,4.506837
2013,6,25,2013-6-25,8.953614
2013,6,26,2013-6-26,9.797344
2013,6,27,2013-6-27,6.505334
2013,6,28,2013-6-28,8.855954
2013,6,29,2013-6-29,5.08964
2013,6,30,2013-6-30,8.309584
2013,7,1,2013-7-1,4.241313
2013,7,2,2013-7-2,9.529232
2013,7,3,2013-7-3,10.028259
2013,7,4,2013-7-4,7.084386
2013,7,5,2013-7-5,7.448534
2013,7,6,2013-7-6,6.631048
2013,7,7,2013-7-7,6.556588
2013,7,8,2013-7-8,9.165617
2013,7,9,2013-7-9,10.098746
2013,7,10,2013-7-10,10.451496
2013,7,11,2013-7-11,7.529022
2013,7,12,2013-7-12,8.748344
2013,7,13,2013-7-13,2.023127
2013,7,14,2013-7-14,2.608161
2013,7,15,2013-7-15,7.905052
2013,7,16,2013-7-16,6.847001
2013,7,17,2013-7-17,7.190182
2013,7,18,2013-7-18,         
2013,7,19,2013-7-19,8.775026
2013,7,20,2013-7-20,2.48189
2013,7,21,2013-7-21,10.652435
2013,7,22,2013-7-22,8.921869
2013,7,23,2013-7-23,4.972693
2013,7,24,2013-7-24,5.69571
2013,7,25,2013-7-25,8.55925
2013,7,26,2013-7-26,10.166008
2013,7,27,2013-7-27,8.613529
2013,7,28,2013-7-28,6.146756
2013,7,29,2013-7-29,11.962287
2013,7,30,2013-7-30,10.752379
2013,7,31,2013-7-31,11.912873
2013,8,1,2013-8-1,10.456326
2013,8,2,2013-8-2,7.477469
2013,8,3,2013-8-3,6.044472
2013,8,4,2013-8-4,6.977775
2013,8,5,2013-8-5,5.268461
2013,8,6,2013-8-6,9.776459
2013,8,7,2013-8-7,7.500384
2013,8,8,2013-8-8,10.643788
2013,8,9,2013-8-9,2.950161
2013,8,10,2013-8-10,12.993878
2013,8,11,2013-8-11,12.31917
2013,8,12,2013-8-12,11.900228
2013,8,13,2013-8-13,14.080034
2013,8,14,2013-8-14,6.125955
2013,8,15,2013-8-15,12.522755
2013,8,16,2013-8-16,14.084284
2013,8,17,2013-8-17,11.908081
2013,8,18,2013-8-18,10.411529
2013,8,19,2013-8-19,11.767361
2013,8,20,2013-8-20,10.776335
2013,8,21,2013-8-21,11.904694
2013,8,22,2013-8-22,10.067835
2013,8,23,2013-8-23,4.6634
2013,8,24,2013-8-24,7.322892
2013,8,25,2013-8-25,8.867201
2013,8,26,2013-8-26,12.76187
2013,8,27,2013-8-27,13.304695
2013,8,28,2013-8-28,12.59512
2013,8,29,2013-8-29,10.410791
2013,8,30,2013-8-30,12.245394
2013,8,31,2013-8-31,17.032365
2013,9,1,2013-9-1,         
2013,9,2,2013-9-2,15.969149
2013,9,3,2013-9-3,15.582218
2013,9,4,2013-9-4,12.249322
2013,9,5,2013-9-5,2.152097
2013,9,6,2013-9-6,3.722315
2013,9,7,2013-9-7,11.951339
2013,9,8,2013-9-8,15.783732
2013,9,9,2013-9-9,13.0979
2013,9,10,2013-9-10,13.037684
2013,9,11,2013-9-11,14.201431
2013,9,12,2013-9-12,16.140127
2013,9,13,2013-9-13,11.53144
2013,9,14,2013-9-14,12.791502
2013,9,15,2013-9-15,18.05208
2013,9,16,2013-9-16,3.467306
2013,9,17,2013-9-17,13.263336
2013,9,18,2013-9-18,10.994129
2013,9,19,2013-9-19,11.241775
2013,9,20,2013-9-20,12.542612
2013,9,21,2013-9-21,16.641863
2013,9,22,2013-9-22,19.229102
2013,9,23,2013-9-23,14.774004
2013,9,24,2013-9-24,16.493996
2013,9,25,2013-9-25,19.39841
2013,9,26,2013-9-26,17.226166
2013,9,27,2013-9-27,22.122465
2013,9,28,2013-9-28,16.502371
2013,9,29,2013-9-29,20.948252
2013,9,30,2013-9-30,8.144471
2013,10,1,2013-10-1,17.564932
2013,10,2,2013-10-2,13.832217
2013,10,3,2013-10-3,16.774088
2013,10,4,2013-10-4,23.42967
2013,10,5,2013-10-5,13.623202
2013,10,6,2013-10-6,14.19421
2013,10,7,2013-10-7,21.481731
2013,10,8,2013-10-8,21.11327
2013,10,9,2013-10-9,19.452277
2013,10,10,2013-10-10,3.27618
2013,10,11,2013-10-11,23.986996
2013,10,12,2013-10-12,26.130717
2013,10,13,2013-10-13,10.410314
2013,10,14,2013-10-14,18.116281
2013,10,15,2013-10-15,24.868443
2013,10,16,2013-10-16,17.455682
2013,10,17,2013-10-17,         
2013,10,18,2013-10-18,27.750752
2013,10,19,2013-10-19,27.760547
2013,10,20,2013-10-20,21.365629
2013,10,21,2013-10-21,5.445302
2013,10,22,2013-10-22,7.421089
2013,10,23,2013-10-23,11.042218
2013,10,24,2013-10-24,20.719074
2013,10,25,2013-10-25,         
2013,10,26,2013-10-26,13.782251
2013,10,27,2013-10-27,17.123973
2013,10,28,2013-10-28,13.396501
2013,10,29,2013-10-29,17.153297
2013,10,30,2013-10-30,15.296039
