dc,Station Number,Year,Month,Day,Total daily global solar exposure in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0030 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0100 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0130 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0200 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0230 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0300 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0330 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0400 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0430 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0500 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0530 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0600 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0630 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0700 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0730 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0800 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0830 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0900 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 0930 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1000 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1030 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1100 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1130 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1200 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1230 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1300 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1330 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1400 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1430 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1500 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1530 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1600 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1630 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1700 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1730 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1800 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1830 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1900 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 1930 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2000 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2030 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2100 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2130 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2200 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2230 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2300 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2330 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),Global solar exposure for the half-hour ending 2400 hours Solar Time in MJ.m-2,Uncertainty (refer to notes),#
dc, 86282,2013,01,02,29.419004,0.9025590, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000496,0.0022090, 0.014305,0.0031280, 0.109410,0.0075490, 0.171081,0.0100710, 0.339077,0.0185040, 0.389973,0.0178430, 0.272403,0.0098600, 0.634256,0.0248020, 0.913174,0.0335820, 0.847111,0.0386980, 1.137762,0.0389470, 1.326545,0.0723910, 1.357849,0.0780240, 1.932926,0.0498300, 1.848516,0.0430700, 1.722872,0.0388990, 1.941790,0.0401540, 1.893088,0.0401620, 1.899650,0.0390010, 1.702872,0.0390620, 1.668694,0.0350930, 1.342917,0.0331340, 1.352355,0.0313950, 1.210006,0.0292000, 1.033717,0.0280530, 0.845076,0.0266710, 0.649783,0.0244050, 0.454084,0.0205350, 0.271915,0.0148830, 0.115435,0.0079410, 0.019614,0.0033390, 0.000240,0.0021120, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,01,03,32.251742,0.8026620, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000231,0.0020160, 0.020520,0.0033730, 0.117929,0.0079780, 0.276367,0.0148410, 0.448876,0.0199120, 0.633037,0.0233450, 0.823557,0.0255560, 1.011444,0.0270670, 1.180206,0.0281970, 1.346827,0.0298260, 1.496054,0.0319570, 1.625301,0.0337230, 1.732641,0.0356200, 1.825627,0.0374020, 1.879902,0.0394800, 1.861953,0.0394810, 1.906261,0.0392400, 1.873257,0.0383380, 1.818933,0.0372720, 1.738782,0.0357640, 1.630219,0.0338890, 1.510031,0.0321110, 1.402913,0.0313460, 1.364452,0.0340330, 0.782250,0.0276620, 0.515287,0.0225210, 0.588585,0.0231380, 0.455009,0.0205290, 0.257712,0.0141210, 0.108060,0.0075010, 0.018631,0.0032950, 0.000875,0.0021140, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,01,04,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,#
dc, 86282,2013,01,05,30.240986,0.8865380, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000315,0.0021120, 0.015902,0.0031890, 0.102051,0.0070800, 0.194247,0.0112920, 0.290956,0.0148890, 0.609745,0.0281550, 0.736492,0.0310020, 0.692419,0.0360060, 1.201045,0.0347260, 1.356149,0.0300650, 1.501968,0.0318660, 1.641598,0.0340680, 1.752989,0.0364060, 1.837705,0.0387020, 1.862421,0.0402530, 1.953410,0.0430040, 1.931541,0.0526500, 2.016907,0.0447180, 1.753992,0.0468740, 1.812613,0.0558810, 1.298443,0.0494670, 0.964861,0.0277390, 0.760468,0.0183490, 0.911617,0.0281680, 1.004136,0.0436080, 0.658949,0.0261020, 0.486222,0.0199340, 0.512238,0.0235630, 0.257931,0.0143110, 0.101819,0.0072210, 0.019232,0.0032990, 0.000594,0.0018250, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,01,06,31.068318,0.7751760, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0019200, 0.008073,0.0029680, 0.052429,0.0044500, 0.121047,0.0074640, 0.185838,0.0099070, 0.232208,0.0093020, 0.341493,0.0115110, 0.600215,0.0221080, 0.870381,0.0390050, 1.375843,0.0396790, 1.532417,0.0325380, 1.662804,0.0345330, 1.769705,0.0363920, 1.857003,0.0380490, 1.908451,0.0390680, 1.945123,0.0398010, 1.948950,0.0398850, 1.918914,0.0392920, 1.864974,0.0382170, 1.782052,0.0366550, 1.668802,0.0346800, 1.533068,0.0326170, 1.383637,0.0308470, 1.214569,0.0293360, 1.033019,0.0280720, 0.837423,0.0264790, 0.630654,0.0244290, 0.424107,0.0195970, 0.241345,0.0137370, 0.104812,0.0073440, 0.018226,0.0032640, 0.000723,0.0020190, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,01,07,31.993328,0.7779510, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0020160, 0.010561,0.0030070, 0.049593,0.0043020, 0.122531,0.0071220, 0.226981,0.0104440, 0.395089,0.0155770, 0.786805,0.0322440, 1.006139,0.0283150, 1.190852,0.0285380, 1.361329,0.0302040, 1.517256,0.0321970, 1.648926,0.0342270, 1.760013,0.0361900, 1.845541,0.0378100, 1.910458,0.0391030, 1.928550,0.0394580, 1.925374,0.0393940, 1.884936,0.0385810, 1.821028,0.0373260, 1.731618,0.0356350, 1.613843,0.0335620, 1.488961,0.0317180, 1.346227,0.0300770, 1.185952,0.0287320, 1.006810,0.0274780, 0.816964,0.0259700, 0.621934,0.0235560, 0.426265,0.0194600, 0.248677,0.0137830, 0.098634,0.0070170, 0.014967,0.0031650, 0.000501,0.0017290, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,01,08,23.801932,0.6630500, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0018240, 0.015271,0.0032110, 0.090563,0.0065550, 0.295564,0.0159510, 0.319523,0.0163790, 0.225812,0.0089130, 0.285465,0.0093340, 0.368202,0.0103490, 0.272383,0.0074270, 0.188775,0.0052080, 0.344213,0.0087490, 1.506343,0.0786360, 1.752101,0.0364230, 1.835491,0.0376210, 1.879773,0.0384790, 1.909506,0.0390740, 1.923003,0.0393460, 1.896639,0.0416070, 1.894902,0.0420600, 1.656223,0.0388230, 1.234514,0.0505690, 1.492558,0.0398170, 0.547289,0.0128250, 0.615652,0.0188320, 0.435031,0.0138260, 0.395390,0.0128700, 0.313519,0.0125530, 0.085936,0.0050280, 0.015943,0.0030250, 0.006334,0.0029240, 0.000000,0.0028800, 0.000000,0.0019200, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,01,09,24.783051,1.0567510, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000584,0.0019220, 0.012351,0.0030490, 0.051795,0.0047470, 0.256904,0.0152600, 0.431487,0.0215080, 0.395050,0.0205510, 0.366762,0.0132990, 0.499606,0.0140970, 1.080455,0.0325150, 0.633172,0.0180640, 1.011223,0.0428340, 0.849417,0.0331230, 0.851958,0.0209700, 1.196126,0.0433200, 1.602642,0.0648370, 1.855162,0.0656740, 1.451608,0.0736440, 1.705747,0.0803670, 1.537441,0.0675270, 1.449958,0.0701880, 1.671659,0.0526650, 1.165114,0.0609800, 1.179592,0.0500090, 0.811060,0.0406800, 0.891732,0.0421560, 0.701684,0.0418680, 0.576316,0.0246000, 0.230815,0.0123420, 0.183507,0.0109480, 0.114755,0.0081360, 0.016741,0.0032220, 0.000617,0.0016340, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,01,10,32.002824,0.7954470, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0017280, 0.008868,0.0029820, 0.056072,0.0046480, 0.142866,0.0082220, 0.380897,0.0180100, 0.596909,0.0248490, 0.851522,0.0272010, 1.047076,0.0282980, 1.230616,0.0296050, 1.392520,0.0309720, 1.543501,0.0328020, 1.674928,0.0347890, 1.774979,0.0365040, 1.859287,0.0380980, 1.919776,0.0392880, 1.941555,0.0397220, 1.939251,0.0396740, 1.915288,0.0392020, 1.852257,0.0379620, 1.745851,0.0368460, 1.569952,0.0339570, 1.376877,0.0310250, 1.203289,0.0292240, 0.825598,0.0227690, 1.048645,0.0342550, 0.752913,0.0262560, 0.615490,0.0238600, 0.427948,0.0196540, 0.236553,0.0132730, 0.060991,0.0051310, 0.010084,0.0029950, 0.000451,0.0016330, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
dc, 86282,2013,01,11,29.021955,1.3582070, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0016320, 0.000439,0.0028900, 0.018476,0.0031860, 0.122463,0.0077780, 0.296613,0.0194790, 0.485881,0.0276060, 0.525953,0.0310620, 0.771390,0.0531010, 0.865163,0.0638310, 0.999199,0.0698380, 1.151567,0.0888810, 1.043131,0.0603410, 1.623523,0.0828610, 1.529895,0.1052110, 1.810491,0.0617810, 2.004767,0.0748740, 1.930656,0.1112950, 1.943753,0.0919470, 1.909491,0.0714270, 1.301260,0.0657840, 1.730038,0.0421230, 1.534959,0.0335800, 1.374635,0.0307640, 1.195752,0.0290800, 0.861213,0.0335530, 0.737752,0.0309670, 0.607722,0.0234730, 0.390889,0.0184010, 0.176885,0.0114130, 0.065953,0.0052650, 0.011676,0.0030450, 0.000358,0.0017280, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000, 0.000000,0.0000000,#
